Manelli Impresa;Yes;Yes;Italy;Construction & Engineering;365.2;66.9;71662935;15403571;250;103;2008
Incipion;No;No;Germany;Construction & Engineering;355.2;65.7;4496545;987712;25;4;2013
Voto Group;No;No;Italy;Construction & Engineering;351.5;65.3;3553071;786895;14;7;1995
Nafz Holzhaus;No;No;Germany;Construction & Engineering;342.0;64.1;3743742;847015;34;7;2016
Impeus;No;No;Germany;Construction & Engineering;340.0;63.9;2200000;500000;30;5;2017
SVS;Yes;No;Italy;Construction & Engineering;331.9;62.9;18244497;4224104;12;3;2016
Bladeroom;No;No;UK;Construction & Engineering;326.1;62.1;93900600;20631582;81;51;2008
Xilia;No;No;Italy;Construction & Engineering;324.8;62.0;1962959;462130;7;1;2017
Beccaceci;No;No;Italy;Construction & Engineering;312.9;60.4;9386804;2273238;26;20;1987
Gest Project;No;No;Italy;Construction & Engineering;307.6;59.7;8220868;2016803;10;10;2003
Conglomerati Bituminosi;Yes;Yes;Italy;Construction & Engineering;291.7;57.6;47156890;12038343;89;70;1975
Seingim Global Service;Yes;Yes;Italy;Construction & Engineering;290.7;57.5;20511812;5249961;228;76;1999
EdiliziAcrobatica;No;No;Italy;Construction & Engineering;289.3;57.3;82906301;21293936;889;267;1994
Fermeture Econ’Home;Yes;No;France;Construction & Engineering;287.8;57.1;3690376;951604;30;10;2012
Martino;Yes;No;Italy;Construction & Engineering;287.7;57.1;11454560;2954247;31;17;2006
Pelizzari;Yes;No;Italy;Construction & Engineering;286.6;56.9;2004268;518437;6;1;2014
Longo;No;No;Italy;Construction & Engineering;279.0;55.9;2277346;600866;10;5;2015
WR57;No;No;Italy;Construction & Engineering;252.5;52.2;21829318;6192376;23;9;2011
Herold GaLaBau;No;No;Germany;Construction & Engineering;252.3;52.2;8424801;2391098;63;29;2005
Frigoclim Kälte-Klima;Yes;Yes;Germany;Construction & Engineering;252.2;52.2;6613457;1877530;25;12;2014
Archiplan;No;No;Italy;Construction & Engineering;250.4;51.9;9866000;2816000;14;10;1996
Déco;No;No;Italy;Construction & Engineering;246.8;51.4;20151100;5809813;17;7;2010
Schattenvielfalt;No;No;Germany;Construction & Engineering;245.6;51.2;2261892;654559;13;1;2018
